commitee_id,firstname,lastname,district,state
C00492785,Ted,Cruz,,TX,"JOBS, FREEDOM, AND SECURITY PAC",,,
C00652727,Josh,Hawley,,MO,FIGHTING FOR MISSOURI PAC,,,
C00675348,Cindy,Hyde-Smith,,MS,CONSERVATIVES HARVESTING SUCCESS PAC,,,
C00443580,Cynthia,Lummis,,WY,STEER PAC,,,
C00608398,John,Kennedy,,LA,PELICAN PAC,,,
C00576173,Roger,Marshall,,KS,N/A,,,
C00676965,Rick,Scott,,FL,LET'S GET TO WORK PAC,,,
C00701672,Tommy,Tuberville,,AL,COACH PAC,,,
C00313247,Robert,Aderholt,,AL,REACHING FOR A BRIGHTER AMERICA PAC,,,
C00504019,Rick,Allen,,GA,N/A,,,
C00588657,Jodey,Arrington,,TX,BULLDOG PAC,,,
C00553859,Brian,Babin,,TX,BUILDING RENEWAL IN AMERICA NOW PAC,,,
C00662940,Jim,Baird,,IN,N/A,,,
C00577999,Jim,Banks,,IN,BUILDING A NATIONAL KNOWLEGEABLE SECURITY PAC,THE GUARDIAN FUND,HOUSE CONSERVATIVES FUND,
C00725465,Cliff,Bentz,,OR,OREGON FRONTIER PAC,,,
C00614214,Jack,Bergman,,MI,N/A,,,
C00703843,Stephanie,Bice,,OK,BIG IDEAS CREATE EXCELLENCE - BICE PAC,,,
C00610451,Andy,Biggs,,AZ,BUILDING INNOVATIVE GOOD GOVERNMENT SOLUTIONS PAC,,,
C00699660,Dan,Bishop,,NC,TAR HEEL PROSPERITY PAC,,,
C00728238,Lauren,Boebert,,CO,WE THE PEOPLE LEADERSHIP PAC,,,
C00546499,Mike,Bost,,IL,BUILDING OPPORTUNITIES FOR A STRONGER TOMORROW B.O.S.T. PAC,,,
C00464149,Mo,Brooks,,AL,MAKE OPPORTUNITY POLITICAL ACTION COMMITTEE,,,
C00614776,Ted,Budd,,NC,,,,
C00652149,Tim,Burchett,,TN,VOLUNTEER ISSUES PAC INC,,,
C00372532,Michael,Burgess,,TX,LONE STAR LEADERSHIP PAC,,,
C00257337,Ken,Calvert,,CA,EUREKA POLITICAL ACTION COMMITTEE,,,
C00730895,Kat,Cammack,,FL,KAT PAC,,,
C00697789,Jerry,Carl,,AL,CONSERVATIVE AMERICAN REPUBLICAN LEADERSHIP PAC,,,
C00543967,Buddy,Carter,,GA,N/A,,,
C00371203,John,Carter,,TX,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,,,
C00732958,Madison,Cawthorn,,NC,MAKING A DIFFERENCE IN SERVICE TO OUR NATION,,,
C00301838,Steve,Chabot,,OH,WINNOVEMBER POLITICAL ACTION COMMITTEE,,,
C00661561,Ben,Cline,,VA,N/A,,,
C00655332,Michael,Cloud,,TX,CITY ON A HILL PAC,,,
C00740100,Andrew,Clyde,,GA,"FREEDOM PAC, INC.",,,
C00379735,Tom,Cole,,OK,CONSERVATIVE OPPURTUNITY LEADERSHIP AND ENTERPRISE PAC (COLE PAC),,,
C00462374,Rick,Crawford,,AR,RURAL AMERICA COUNTS PAC (RAC PAC),,,
C00600718,Warren,Davidson,,OH,FINTECH PAC,DEFEND FREEDOM POLITICAL ACTION COMMITTEE,,
C00464073,Scott,DesJarlais,,TN,TN4UPAC,,,
C00376087,Mario,Diaz-Balart,,FL,MAINTAINING ALL REPUBLICANS IN OFFICE PAC,,,
C00733329,Byron,Donalds,,FL,N/A,,,
C00460550,Jeff,Duncan,,SC,N/A,,,
C00582304,Neal,Dunn,,FL,N/A,,,
C00632067,Ron,Estes,,KS,RESTORING OUR NATION (RON) PAC,,,
C00750307,Pat,Fallon,,TX,PATRIOTS ALWAYS TRIUMPH,,,
C00717959,Michelle,Fischbach,,MN,MNM PAC,,,
C00720011,Scott,Fitzgerald,,WI,SCONNIE PAC,,,
C00461822,Chuck,Fleischmann,,TN,NOOGA PAC,,,
C00386748,Virginia,Foxx,,NC,VICTORY AND FREEDOM PAC (VAF PAC),,,
C00742247,Scott,Franklin,,FL,CEILING AND VISIBILITY UNLIMITED (CAVU PAC),,,
C00648295,Russ,Fulcher,,ID,GEM STATE PAC,,,
C00612432,Matt,Gaetz,,FL,PANHANDLE PAC,,,
C00701102,Mike,Garcia,,CA,N/A,,,
C00466516,Bob,Gibbs,,OH,BUILDING OUR BASE - BOB PAC,,,
C00735985,Carlos,Gimenez,,FL,RESIDENTS FIRST PAC,,,
C00386532,Louie,Gohmert,,TX,N/A,,,
C00721308,Bob,Good,,VA,N/A,,,
C00662601,Lance,Gooden,,TX,GROWING OUR OWN DYNAMIC ECONOMY NOW,,,
C00461806,Paul,Gosar,,AZ,PROTECTING AMERICA UNDER LAW POLITICAL ACTION COMMITTEE,,,
C00558486,Garret,Graves,,LA,DO RIGHT BAYOU PAC,,,
C00359034,Sam,Graves,,MO,SHOW-ME POLITICAL ACTION COMMITTEE,,,
C00658385,Mark,Green,,TN,N/A,,,
C00708289,Marjorie,Greene,,GA,SAVE AMERICA STOP SOCIALISM PAC,,,
C00477240,Morgan,Griffith,,VA,FIGHTIN' NINTH POLITICAL ACTION COMMITTEE,,,
C00665752,Michael,Guest,,MS,GUEST PAC,,,
C00550707,Jim,Hagedorn,,MN,MAGADORN PAC,,,
C00435974,Andy,Harris,,MD,CHESAPEAKE PAC,,,
C00741090,Diana,Harshbarger,,TN,TENNESSEE TOUGH PAC,,,
C00464602,Vicky,Hartzler,,MO,VICKY PAC,,,
C00636092,Kevin,Hern,,OK,HELP ELECT REPUBLICANS NOW,,,
C00655571,Yvette,Herrell,,NM,NEW MEXICO FREEDOM FUND,,,
C00544445,Jody,Hice,,GA,"FREEDOM PAC, INC.",,,
C00617662,Clay,Higgins,,LA,REDEMPTION PAC,,,
C00504522,Richard,Hudson,,NC,FIRST IN FREEDOM PAC,,,
C00721332,Darrell,Issa,,CA,INVEST IN A STRONG AND SECURE AMERICA,,,
C00730531,Ronny,Jackson,,TX,TEXAS RED,,,
C00706788,Chris,Jacobs,,NY,NIAGARA FRONTIER PAC,,,
C00608695,Mike,Johnson,,LA,AMERICAN REVIVAL PAC,HOUSE CONSERVATIVES FUND,,
C00476820,Bill,Johnson,,OH,BELIEF IN LIFE AND LIBERTY POLITICAL ACTION COMMITTEE (BILL'S PAC),,,
C00416594,Jim,Jordan,,OH,HOUSE LIBERTY FUND,BUCKEYE LIBERTY PAC,HOUSE FREEDOM FUND,BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE
C00674259,John,Joyce,,PA,RE-JOYCE PAC,,,
C00697052,Fred,Keller,,PA,FREEDOM RINGS EVERY DAY PAC,,,
C00573980,Trent,Kelly,,MS,SOUTHERN STATES PAC,TRENT'S TROOPS PAC,,
C00474189,Mike,Kelly,,PA,,,,
C00614826,David,Kustoff,,TN,DAVID PAC DELIVERING AMERICAN VALUES IN DC,,,
C00509422,Doug,LaMalfa,,CA,NORCAL WATER JOBS LIBERTY PAC,,,
C00420745,Doug,Lamborn,,CO,DOUGLASPAC-DOING OUR UTMOST FOR GOD LIBERTY AND SECURITY,,,
C00718346,Jacob,LaTurner,,KS,KANSAS VICTORY PAC,,,
C00663914,Debbie,Lesko,,AZ,DELIVER. EXCEL. BELIEVE. PAC,,,
C00460063,Billy,Long,,MO,BELIEVE IN LIFE LIBERTY YOURSELF (BILLY PAC),,,
C00543892,Barry,Loudermilk,,GA,STAND PAC,,,
C00287912,Frank,Lucas,,OK,FUNDING DEVELOPING LEADERSHIP POLITICAL ACTION COMMITTEE AKA FDL PAC,,,
C00458679,Blaine,Luetkemeyer,,MO,BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC,,,
C00694778,Nicole,Malliotakis,,NY,NO NONSENSE PAC,,,
C00460659,Tracey,Mann,,KS,GREAT PLAINS PAC,,,
C00632257,Brian,Mast,,FL,VALOR PAC,,,
C00420935,Kevin,McCarthy,,CA,MAJORITY COMMITTEE PAC--MC PAC,,,
C00726042,Lisa,McClain,,MI,MICHIGAN VALUES PAC,,,
C00654723,Daniel,Meuser,,PA,DAN-PAFIRST PAC,,,
C00723916,Mary,Miller,,IL,MAKE AMERICA REPUBLICAN YESTERDAY,,,
C00653220,Carol,Miller,,WV,CUT THE BULL PAC,,,
C00768705,Alex,Mooney,,WV,AMERICANS FOR LEGISLATING EXCELLENCE PAC,AMERICANS FOR LEGISLATIVE EXCELLENCE PAC,,
C00720375,Barry,Moore,,AL,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY,,,
C00498345,Markwayne,Mullin,,OK,BOOTS POLITICAL ACTION COMMITTEE,,,
C00697649,Gregory,Murphy,,NC,VICTORY EAST,,,
C00730150,Troy,Nehls,,TX,NOW ELECTING HONEST LEADERSHIP AND SERVICE PAC,,,
C00633610,Ralph,Norman,,SC,CONSERVATIVE OPPORTUNITY FUND,"RESTORING AMERICA'S LIBERTY, PROSPERITY, & HONOR PAC",,
C00370056,Devin,Nunes,,CA,N/A,,,
C00720078,Jay,Obernolte,,CA,JOBS AND THE ECONOMY PAC,,,
C00725853,Burgess,Owens,,UT,JUST WIN BABY,,,
C00477323,Steven,Palazzo,,MS,PATRIOT POLITICAL ACTION COMMITTEE,,,
C00551374,Gary,Palmer,,AL,ACT RIGHT AMERICA,CONSERVATIVE PROMISES PAC,,
C00658401,Greg,Pence,,IN,MUSTANG PAC,,,
C00510164,Scott,Perry,,PA,FIRST CAPITAL PAC,,,
C00719294,August,Pfluger,,TX,RAPTOR PAC,,,
C00444968,Bill,Posey,,FL,ACCOUNTABILITY PAC,,,
C00657833,Guy,Reschenthaler,,PA,RVFPAC,,,
C00506048,Tom,Rice,,SC,REPUBLICANS IN CONGRESS EMPOWERING AMERICA,,,
C00367862,Mike,Rogers,,AL,AMERICAN SECURITY PAC,,,
C00116632,Hal,Rogers,,KY,HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE (HALPAC),,,
C00652743,John,Rose,,TN,REPUBLICANS OFFERING SOLUTIONS FOR EVERYONE PAC,,,
C00548289,Matt,Rosendale,,MT,406 PAC,,,
C00501643,David,Rouzer,,NC,DECIDING CRITICAL RACES PAC (DCR PAC),,,
C00615294,John,Rutherford,,FL,STRENGTHENING THE AMERICAN REPUBLIC (STAR) PAC,,,
C00394957,Steve,Scalise,,LA,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,,,
C00540617,David,Schweikert,,AZ,DEFENDING AMERICA'S VALUES EVERYWHERE (TEAM DAVE),,,
C00303305,Pete,Sessions,,TX,N/A,,,
C00541862,Jason,Smith,,MO,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,,,
C00412890,Adrian,Smith,,NE,CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC),,,
C00599464,Lloyd,Smucker,,PA,JAM PAC,,,
C00547893,Elise,Stefanik,,NY,E-PAC,,,
C00671891,Greg,Steube,,FL,GETTING REPUBLICANS ELECTED FOR GENERATIONS PAC (GREG PAC),,,
C00506931,Chris,Stewart,,UT,FREEDOM 21: FIGHTING FOR FREEDOM IN THE 21ST CENTURY,,,
C00444620,Glenn,Thompson,,PA,GREATER TOMORROW POLITICAL ACTION COMMITTEE,,,
C00718635,Tom,Tiffany,,WI,DAM MAN PAC,,,
C00668491,William,Timmons,,SC,UPSTATE SC PAC,,,
C00661868,Jefferson Van,Drew,,NJ,SOUTH JERSEY UNITED IN TRUST (SJUIT) PAC,,,
C00714865,Beth Van,Duyne,,TX,BE VICTORIOUS OVER DEMOCRATS PAC,,,
C00390724,Tim,Walberg,,MI,TRUTH IS MARKETS WORK FUND A/K/A TIM W FUND,,,
C00468579,Jackie,Walorski,,IN,JUMP INTO ACTION FOR CONSERVATIVES TO KEEP OUR IDEAS ELEVATED PAC,,,
C00502229,Randy,Weber,,TX,BUILDING AMERICAN CONSERVATISM PAC AKA GO BY BAC PAC,,,
C00481911,Daniel,Webster,,FL,COOL PAC,,,
C00498121,Roger,Williams,,TX,PATRIOTS IN ACTION,,,
C00368522,Joe,Wilson,,SC,SPEAK UP AMERICA POLITICAL ACTION COMMITTEE,,,
C00441014,Rob,Wittman,,VA,AMERICA'S FIRST PAC,,,
C00662171,Ron,Wright,,TX,REPUBLICANS OFFER NEW SOLUTIONS PAC,,,
C00552547,Lee,Zeldin,,NY,LEE PAC,,,
